,XOM_adjOpen,COP_adjOpen,CVX_adjOpen,TTE_adjOpen,OXY_adjOpen,XOM_adjClose,COP_adjClose,CVX_adjClose,TTE_adjClose,OXY_adjClose
2014-01-02 00:00:00+00:00,69.2159024351,54.5451005858,87.1824161646,37.610593558,64.9070913004,68.9188088231,54.1647519408,86.9582608282,37.5855657133,64.4538198978
2014-01-03 00:00:00+00:00,68.9326271306,54.3976184581,87.2804841243,37.46042649,64.4950263889,68.7529891327,54.3044718512,87.1053627677,37.2977454998,64.2271841965
2014-01-06 00:00:00+00:00,69.0500827447,54.5994361065,87.2734792701,37.3915999172,64.4606876463,68.8566264392,54.5373383685,86.874202577,37.1851201988,64.4194811552
2014-01-07 00:00:00+00:00,68.8220806704,54.5295761513,87.1543967476,37.2351758881,64.9482977915,69.8308171203,54.6227227582,87.6097122747,37.2914885386,65.6213371469
2014-01-08 00:00:00+00:00,69.9137269655,54.708107148,87.1684064561,36.9223278299,65.2367432295,69.602815046,54.0948919855,86.3628482158,36.8847860629,65.099388259
2014-01-09 00:00:00+00:00,69.2297207426,54.1880385925,86.4539113212,37.0474670532,65.1337270017,68.9257179769,53.9163609889,86.3628482158,36.8597582183,65.1337270017
2014-01-10 00:00:00+00:00,69.0846285135,54.0405564648,85.809464729,37.2789746163,65.2779497207,69.4508136631,53.4583901714,84.7657414437,37.2226619658,64.4538198978
2014-01-13 00:00:00+00:00,69.0293552834,53.3109080437,84.6256443584,36.7909316455,64.1173002201,68.0897103711,52.5812596226,83.5328870933,36.6407645775,62.8673699887
2014-01-14 00:00:00+00:00,68.2624392153,52.6511195778,83.6379599073,36.8409873348,63.1352121812,68.4835321358,53.0314682229,83.7570424297,37.2789746163,63.3961866251
2014-01-15 00:00:00+00:00,68.5111687509,53.0702793091,83.8411006809,37.0099252862,63.7052353087,68.2486209077,52.845175009,83.4838531135,37.2789746163,62.8124280006
2014-01-16 00:00:00+00:00,68.2555300615,52.8218883572,83.4348191336,37.2414328493,62.7231472697,68.359167368,52.6511195778,83.2386832142,37.266460694,63.0253282048
2014-01-17 00:00:00+00:00,68.5249870584,52.7986017055,83.3787802995,37.3415442279,63.0047249592,68.5111687509,52.402728626,83.5609065104,37.1475784318,62.2011983819
